time,x,y,z
82.237498,-1344.0,738.0,3888.0
82.362432,-1296.0,674.0,3968.0
82.51868800000001,-1296.0,770.0,4048.0
82.63044500000001,-1296.0,882.0,3920.0
82.727304,-1280.0,754.0,4032.0
82.836996,-1184.0,690.0,4080.0
82.883599,-1088.0,690.0,3776.0
83.352523,-1232.0,802.0,4000.0
83.477475,-1168.0,850.0,3984.0
83.58647500000001,-1424.0,786.0,3952.0
83.664617,-1280.0,674.0,3872.0
83.778244,-1200.0,786.0,3920.0
83.918864,-1248.0,658.0,4096.0
83.94978400000001,-1232.0,738.0,3840.0
83.996938,-1232.0,578.0,3792.0
84.05953000000001,-1264.0,690.0,3936.0
84.20002000000001,-1312.0,722.0,4000.0
84.278126,-1264.0,674.0,4032.0
84.35622500000001,-1328.0,674.0,3920.0
84.465293,-1200.0,754.0,3872.0
84.512117,-1232.0,754.0,3984.0
84.55935000000001,-1328.0,658.0,4032.0
84.62154000000001,-1296.0,818.0,4016.0
84.76209800000001,-1296.0,754.0,3856.0
84.793582,-1200.0,754.0,3920.0
84.856254,-1312.0,674.0,3840.0
84.91828000000001,-1216.0,754.0,3920.0
85.058862,-1232.0,802.0,4064.0
85.152631,-1280.0,818.0,4048.0
85.199814,-1248.0,754.0,3968.0
85.308845,-1136.0,722.0,4048.0
85.40292600000001,-1376.0,770.0,3968.0
85.574365,-1232.0,674.0,3856.0
85.59031800000001,-1168.0,690.0,3920.0
85.699672,-1328.0,722.0,3808.0
85.80897800000001,-1344.0,658.0,3936.0
85.91807800000001,-1328.0,866.0,3968.0
86.043383,-1248.0,690.0,4080.0
86.08992500000001,-1232.0,722.0,4000.0
86.199585,-1232.0,786.0,3936.0
86.324234,-1232.0,802.0,3888.0
86.355749,-1232.0,738.0,3888.0
86.402596,-1328.0,738.0,3920.0
86.48044700000001,-1296.0,690.0,4000.0
86.52755400000001,-1264.0,754.0,3888.0
86.62137,-1296.0,834.0,4080.0
86.636663,-1232.0,786.0,4032.0
